Date,Adj Close,Total Monthly Return
4/30/11,66.771408,-4.19%
5/31/11,63.975464,-2.28%
6/30/11,62.515255,1.83%
7/31/11,63.661739,-10.22%
8/31/11,57.158173,-14.76%
9/30/11,48.722683,19.61%
10/31/11,58.277122,1.66%
11/30/11,59.24688,-2.46%
12/31/11,57.792244,2.69%
1/31/12,59.346527,5.93%
2/29/12,62.864159,-4.18%
3/31/12,60.236423,-0.33%
4/30/12,60.039284,-10.68%
5/31/12,53.625771,4.31%
6/30/12,55.934963,5.45%
7/31/12,58.982777,2.70%
8/31/12,60.574863,2.66%
9/30/12,62.183861,-1.59%
10/31/12,61.194851,-1.22%
11/30/12,60.446285,0.51%
12/31/12,60.752514,8.85%
1/31/13,66.132065,0.44%
2/28/13,66.422745,2.09%
3/31/13,67.807808,-0.87%
4/30/13,67.218536,2.85%
5/31/13,69.133652,-2.73%
6/30/13,67.244286,5.77%
7/31/13,71.121803,-1.03%
8/31/13,70.388313,1.64%
9/30/13,71.544617,4.68%
10/31/13,74.893066,0.06%
11/30/13,74.936424,2.39%
12/31/13,76.730942,-5.36%
1/31/14,72.620079,5.12%
2/28/14,76.339058,1.61%
3/31/14,77.567085,5.77%
4/30/14,82.044739,1.67%
5/31/14,83.418869,5.03%
6/30/14,87.611259,-3.02%
7/31/14,84.966469,2.18%
8/31/14,86.82177,-8.22%
9/30/14,79.681892,-3.03%
10/31/14,77.263878,-8.69%
11/30/14,70.546822,-0.83%
12/31/14,69.963501,-3.97%
1/31/15,67.188042,4.59%
2/28/15,70.273987,-1.82%
3/31/15,68.993355,7.30%
4/30/15,74.028442,-5.19%
5/31/15,70.18734,-4.12%
6/30/15,67.295319,-7.08%
7/31/15,62.532661,-4.18%
8/31/15,59.918884,-7.93%
9/30/15,55.168987,11.96%
10/31/15,61.768291,-0.01%
11/30/15,61.759205,-11.32%
12/31/15,54.767948,-2.62%
1/31/16,53.331097,-2.80%
2/29/16,51.837704,9.38%
3/31/16,56.702656,9.84%
4/30/16,62.284389,-0.93%
5/31/16,61.703056,2.05%
6/30/16,62.967205,-0.61%
7/31/16,62.58345,1.68%
8/31/16,63.633007,3.07%
9/30/16,65.583527,-2.23%
10/31/16,64.119957,8.47%
11/30/16,69.54895,1.20%
12/31/16,70.380577,-2.70%
1/31/17,68.479752,-2.09%
2/28/17,67.05191,-2.07%
3/31/17,65.661652,-2.36%
4/30/17,64.108826,-3.54%
5/31/17,61.840824,-0.79%
6/30/17,61.349419,3.33%
7/31/17,63.389328,-5.48%
8/31/17,59.916328,8.75%
9/30/17,65.159134,0.47%
10/31/17,65.467697,-1.19%
11/30/17,64.686836,7.69%
12/31/17,69.661263,4.27%
1/31/18,72.638596,-10.84%
2/28/18,64.768196,1.00%
3/31/18,65.418404,10.27%
4/30/18,72.139305,2.99%
5/31/18,74.299278,-0.11%
6/30/18,74.221107,2.24%
7/31/18,75.883522,-3.48%
8/31/18,73.246498,1.75%
9/30/18,74.52565,-10.72%
10/31/18,66.537613,-1.56%
11/30/18,65.497337,-13.25%
12/31/18,56.818516,12.25%
