Date,Adj Close,Total Monthly Return
1/31/07,27.843243,-1.12%
2/28/07,27.531616,0.59%
3/31/07,27.695213,4.87%
4/30/07,29.04335,5.19%
5/31/07,30.550184,-0.23%
6/30/07,30.479908,1.21%
7/31/07,30.848043,0.03%
8/31/07,30.855865,4.21%
9/30/07,32.15522,-0.79%
10/31/07,31.900805,-2.84%
11/30/07,30.996099,-0.61%
12/31/07,30.807289,-5.06%
1/31/08,29.247335,-2.03%
2/29/08,28.65447,3.17%
3/31/08,29.563511,3.40%
4/30/08,30.568199,0.88%
5/31/08,30.83815,-12.44%
6/30/08,27.003233,1.27%
7/31/08,27.345087,2.74%
8/31/08,28.094929,-12.55%
9/30/08,24.569099,-17.80%
10/31/08,20.195812,-8.22%
11/30/08,18.535547,1.34%
12/31/08,18.784187,-11.14%
1/31/09,16.691029,-17.03%
2/28/09,13.848446,7.78%
3/31/09,14.925552,19.21%
4/30/09,17.792316,3.35%
5/31/09,18.389212,-2.36%
6/30/09,17.955851,9.47%
7/31/09,19.656216,4.77%
8/31/09,20.594582,5.28%
9/30/09,21.681099,-3.48%
10/31/09,20.92717,8.78%
11/30/09,22.764191,1.02%
12/31/09,22.99589,-0.84%
1/31/10,22.803818,5.33%
2/28/10,24.019796,8.32%
3/31/10,26.018671,4.61%
4/30/10,27.219336,-9.12%
5/31/10,24.737251,-7.33%
6/30/10,22.923742,10.97%
7/31/10,25.438421,-6.93%
8/31/10,23.674784,10.96%
9/30/10,26.269848,3.40%
10/31/10,27.163424,1.34%
11/30/10,27.526394,6.93%
12/31/10,29.43408,4.46%
1/31/11,30.746801,2.12%
2/28/11,31.400074,1.78%
3/31/11,31.960047,3.19%
4/30/11,32.978142,-2.76%
5/31/11,32.066338,-1.04%
6/30/11,31.734003,-6.41%
7/31/11,29.699038,-6.57%
8/31/11,27.746498,-9.81%
9/30/11,25.023226,15.01%
10/31/11,28.780188,1.41%
11/30/11,29.184942,-0.41%
12/31/11,29.064373,8.04%
1/31/12,31.400465,2.79%
2/29/12,32.276081,0.51%
3/31/12,32.440796,-0.63%
4/30/12,32.234943,-6.32%
5/31/12,30.196856,2.88%
6/30/12,31.067831,0.87%
7/31/12,31.337364,1.54%
8/31/12,31.818682,0.47%
9/30/12,31.967442,0.54%
10/31/12,32.139122,1.75%
11/30/12,32.70282,2.07%
12/31/12,33.381001,6.53%
1/31/13,35.560032,2.22%
2/28/13,36.349655,1.93%
3/31/13,37.050568,-0.31%
4/30/13,36.93512,5.02%
5/31/13,38.788551,-2.04%
6/30/13,37.995506,6.45%
7/31/13,40.446632,-2.48%
8/31/13,39.443531,5.38%
9/30/13,41.566154,5.24%
10/31/13,43.746075,3.66%
11/30/13,45.347641,3.69%
12/31/13,47.021175,-3.78%
1/31/14,45.24369,4.06%
2/28/14,47.079483,0.52%
3/31/14,47.32365,1.78%
4/30/14,48.165138,1.92%
5/31/14,49.091564,0.02%
6/30/14,49.100651,-3.69%
7/31/14,47.289722,4.23%
8/31/14,49.28788,-1.61%
9/30/14,48.494091,4.37%
10/31/14,50.611546,3.08%
11/30/14,52.169952,1.02%
12/31/14,52.701645,-2.06%
1/31/15,51.614426,0.70%
2/28/15,51.973934,-1.08%
3/31/15,51.411613,1.41%
4/30/15,52.138416,-0.87%
5/31/15,51.684631,-3.14%
6/30/15,50.063992,0.89%
7/31/15,50.507782,-5.49%
8/31/15,47.734375,-3.08%
9/30/15,46.263905,9.76%
10/31/15,50.780647,0.87%
11/30/15,51.220432,-3.16%
12/31/15,49.601662,-5.12%
1/31/16,47.059597,4.26%
2/29/16,49.064739,6.43%
3/31/16,52.218365,1.76%
4/30/16,53.138988,-0.43%
5/31/16,52.911903,0.16%
6/30/16,52.997063,4.20%
7/31/16,55.220821,0.95%
8/31/16,55.744099,-0.36%
9/30/16,55.544304,-1.47%
10/31/16,54.728165,9.09%
11/30/16,59.702579,-0.30%
12/31/16,59.520824,2.49%
1/31/17,61.002014,3.91%
2/28/17,63.388962,-1.21%
3/31/17,62.618977,2.43%
4/30/17,64.141258,1.78%
5/31/17,65.28215,0.87%
6/30/17,65.852592,0.77%
7/31/17,66.358559,0.22%
8/31/17,66.504272,3.71%
9/30/17,68.971718,1.21%
10/31/17,69.804329,4.17%
11/30/17,72.71244,1.56%
12/31/17,73.844444,5.94%
1/31/18,78.229195,-3.86%
2/28/18,75.207169,-3.08%
3/31/18,72.891586,-2.39%
4/30/18,71.146149,3.07%
5/31/18,73.333138,-3.77%
6/30/18,70.564911,7.82%
7/31/18,76.080132,0.23%
8/31/18,76.258171,1.69%
9/30/18,77.543983,-10.44%
10/31/18,69.450912,3.81%
11/30/18,72.094582,-11.21%
12/31/18,64.014503,12.12%
